DISTRICT NAME,TOTAL NUMBER OF SCHOOLS,TOTAL STUDENTS,STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MASTERS GRADE LEVEL STANDARD,STAAR: % SOCIAL STUDIES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE, STAAR: % SOCIAL STUDIES AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SOCIAL STUDIES AT MASTERS GRADE LEVEL STANDARD, STAAR: % AFRICAN AMERICAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % HISPANIC AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MASTERS GRADE LEVEL STANDARD,STAAR: % WHITE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MASTERS GRADE LEVEL STANDARD,STAAR: % AMERICAN INDIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % ASIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % PACIFIC ISLANDER AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MASTERS GRADE LEVEL STANDARD,STAAR: % TWO OR MORE RACES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % TWO OR MORE RACES AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % TWO OR MORE RACES AT MASTERS GRADE LEVEL STANDARD,STAAR: % ECONOMICALLY DISADVANTAGED AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MASTERS GRADE LEVEL STANDARD
COMMERCE ISD,4,1440,62,33,13,64,38,17,70,55,22,9,70,37,13,62,39,13,41,15,5,66,35,11,71,42,19,-1,-1,-1,86,59,41,61,17,0,68,35,14,56,25,9
GREENVILLE ISD,11,5320,61,32,13,60,37,15,64,58,24,9,64,33,13,66,37,20,45,18,6,59,29,11,72,45,20,65,53,41,81,60,35,23,0,0,65,37,15,56,27,10
LONE OAK ISD,3,1025,79,52,23,78,57,26,77,81,48,19,77,47,20,74,51,27,58,17,4,78,53,25,80,53,23,62,31,23,100,100,71,-1,-1,-1,84,62,22,73,43,16
QUINLAN ISD,4,2575,68,39,18,69,44,20,74,63,29,12,74,42,18,72,49,29,52,20,4,65,37,17,69,40,19,72,33,11,83,67,33,92,46,8,76,41,22,66,36,17
WOLFE CITY ISD,3,701,81,48,20,78,53,24,80,82,43,17,80,46,13,86,48,22,51,24,4,80,45,19,83,50,21,78,33,11,-1,-1,-1,,,,70,40,10,76,40,15
CAMPBELL ISD,2,303,54,25,8,58,32,12,55,47,16,5,55,19,3,68,42,16,-1,-1,-1,50,23,9,57,26,8,,,,100,38,25,,,,17,17,8,50,23,8
BLAND ISD,3,761,84,56,26,84,60,29,88,87,55,26,88,57,17,70,39,25,77,46,31,82,52,21,86,60,29,100,73,55,-1,-1,-1,,,,100,75,50,83,50,19
BOLES ISD,3,529,74,39,13,76,45,18,72,75,31,10,72,42,10,65,34,7,67,17,0,71,38,10,75,39,14,-1,-1,-1,75,75,38,,,,57,14,7,67,33,13
BORGER ISD,6,2493,78,51,23,77,52,22,85,78,45,20,85,62,29,75,46,28,71,46,21,75,45,19,82,56,27,84,57,23,89,70,33,,,,75,53,28,70,40,16
SANFORD-FRITCH ISD,3,692,75,45,19,77,52,24,74,72,36,14,74,42,19,78,48,18,67,33,22,68,43,13,76,46,20,36,18,0,50,17,17,,,,82,56,23,62,33,14
PLEMONS-STINNETT-PHILLIPS CISD,3,621,78,47,22,77,52,24,83,80,44,20,83,49,21,73,40,23,,,,74,35,14,80,52,26,56,33,0,,,,,,,80,52,13,70,39,13
SPRING CREEK ISD,1,96,82,47,17,84,59,22,76,80,36,16,76,41,0,88,50,25,-1,-1,-1,81,42,9,83,53,24,,,,,,,,,,79,29,7,84,40,16
IRION COUNTY ISD,2,334,84,62,35,89,73,44,80,86,58,32,80,53,27,63,46,27,70,30,0,80,53,29,85,66,40,,,,-1,-1,-1,,,,100,33,17,75,42,23
BRYSON ISD,1,252,84,61,26,86,68,31,91,79,53,25,91,64,24,85,56,12,,,,73,55,18,86,63,28,-1,-1,-1,,,,,,,67,33,0,80,52,19
JACKSBORO ISD,3,1077,72,43,17,70,47,19,77,71,35,10,77,44,18,82,52,33,100,78,44,70,34,12,74,46,19,78,56,22,100,100,80,,,,66,41,17,69,37,14
PERRIN-WHITT CISD,2,322,84,50,18,83,56,20,82,84,39,11,82,46,10,89,70,47,,,,89,64,27,82,46,15,,,,,,,,,,100,89,78,76,39,21
EDNA ISD,4,1549,79,52,25,77,51,21,84,80,52,28,84,58,27,75,49,25,68,41,16,76,44,16,87,67,38,,,,76,49,22,,,,81,60,37,73,43,18
GANADO ISD,3,736,79,47,20,83,55,25,83,78,43,19,83,47,14,58,28,9,54,19,0,78,41,17,82,59,26,-1,-1,-1,,,,,,,73,55,18,75,39,15
INDUSTRIAL ISD,4,1156,94,75,39,94,76,39,96,95,72,35,96,80,43,92,68,45,100,69,31,88,64,29,97,79,42,-1,-1,-1,,,,,,,96,88,56,92,64,30
BROOKELAND ISD,2,369,86,56,26,87,62,29,88,83,44,18,88,64,29,88,67,39,80,40,0,100,58,25,85,57,27,,,,,,,,,,82,35,12,80,50,25
BUNA ISD,3,1483,78,47,20,78,54,24,74,77,38,15,74,41,11,84,57,32,75,33,13,75,51,17,78,48,20,40,0,0,-1,-1,-1,,,,76,35,10,71,35,13
JASPER ISD,4,2166,53,28,9,54,31,9,55,49,23,9,55,25,7,62,33,15,39,17,5,61,31,9,64,37,13,73,45,18,92,67,25,,,,57,31,11,49,23,7
KIRBYVILLE CISD,3,1450,75,44,19,74,48,20,77,79,44,20,77,40,16,63,36,16,61,28,11,77,41,12,77,47,21,70,30,20,-1,-1,-1,,,,71,35,12,71,39,15
EVADALE ISD,3,397,76,47,18,75,51,22,82,78,45,15,82,49,12,65,38,19,,,,59,41,5,77,48,19,,,,,,,,,,69,38,12,70,37,11
FT DAVIS ISD,1,176,67,36,15,62,41,19,76,70,31,10,76,38,16,66,34,13,,,,62,28,7,83,62,32,,,,,,,,,,86,29,14,54,23,6
VALENTINE ISD,1,35,81,70,28,82,68,45,71,84,74,16,71,57,0,80,80,40,,,,80,69,23,100,93,50,,,,-1,-1,-1,,,,,,,69,53,16
TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,4,366,64,34,9,73,46,10,55,52,15,2,55,26,0,74,54,36,62,32,8,73,38,12,71,29,0,-1,-1,-1,,,,,,,-1,-1,-1,64,35,9
EHRHART SCHOOL,1,507,79,48,23,86,63,32,76,76,36,15,76,45,21,60,27,13,73,41,17,80,47,22,92,76,49,,,,100,100,83,,,,50,0,0,77,45,21
BOB HOPE SCHOOL,4,2362,79,47,20,82,54,24,73,76,41,20,73,40,11,80,46,20,59,25,12,81,49,21,71,46,8,95,77,38,90,50,50,,,,78,56,22,79,47,20
NEDERLAND ISD,7,4983,84,60,30,84,64,33,85,84,57,28,85,59,26,81,55,32,70,41,15,83,57,27,86,63,33,83,66,26,91,76,46,67,44,0,81,57,31,78,50,22
PORT ARTHUR ISD,12,7840,57,27,10,59,33,12,56,55,23,9,56,22,6,54,25,12,50,22,7,61,30,11,68,35,14,50,26,9,75,50,27,33,0,0,-1,-1,-1,56,25,9
PORT NECHES-GROVES ISD,12,5186,78,48,20,80,55,24,82,77,41,17,82,48,18,66,38,21,58,22,8,75,44,18,81,50,22,54,38,8,85,58,31,,,,75,49,18,70,37,15
BEAUMONT ISD,28,16729,50,26,10,55,33,12,51,42,18,7,51,24,8,51,26,14,42,19,6,55,29,11,78,54,25,54,37,7,86,69,44,68,32,6,59,33,13,45,22,7
SABINE PASS ISD,1,365,87,57,23,88,65,34,86,85,44,12,86,62,16,91,59,29,85,53,25,94,64,23,77,47,17,,,,100,91,64,,,,-1,-1,-1,87,57,23
HAMSHIRE-FANNETT ISD,4,1953,77,46,19,78,52,24,80,76,36,14,80,49,20,73,45,19,64,26,10,70,38,16,81,51,21,100,100,63,90,78,39,-1,-1,-1,77,43,16,68,34,12
JIM HOGG COUNTY ISD,3,1076,75,45,19,71,43,18,81,76,47,21,81,48,16,78,41,19,,,,75,45,18,81,53,25,-1,-1,-1,-1,-1,-1,,,,,,,73,43,17
ALICE ISD,6,4359,58,30,11,62,36,15,59,55,23,9,59,29,9,53,26,11,52,28,3,58,29,11,64,35,18,,,,89,58,37,,,,88,63,44,56,27,10
BEN BOLT-PALITO BLANCO ISD,2,495,67,34,12,73,48,16,59,64,23,8,59,22,5,63,33,17,,,,67,33,12,61,47,16,,,,,,,,,,100,17,0,65,32,11
ORANGE GROVE ISD,4,1770,78,54,27,78,56,27,83,78,49,25,83,59,32,76,52,29,-1,-1,-1,74,48,21,85,62,36,-1,-1,-1,100,100,83,,,,84,60,44,72,45,20
PREMONT ISD,2,695,65,31,10,65,35,13,71,64,27,8,71,31,7,61,31,11,,,,65,30,10,93,63,22,,,,-1,-1,-1,,,,,,,63,28,9
LA GLORIA ISD,1,94,76,47,18,89,73,34,53,70,30,7,53,20,7,,,,,,,78,48,19,-1,-1,-1,,,,,,,,,,,,,65,37,15
ALVARADO ISD,7,3595,70,41,17,69,44,16,72,70,34,14,72,42,17,71,49,26,58,17,5,63,34,15,71,41,19,33,11,11,83,50,33,60,60,60,63,31,16,63,32,14
BURLESON ISD,19,12693,78,51,25,78,55,26,81,77,45,22,81,52,22,79,54,33,70,39,17,73,45,20,81,55,27,66,46,14,91,73,42,91,61,33,79,52,26,68,40,18
CLEBURNE ISD,11,7036,68,39,15,70,44,17,69,68,35,13,69,39,16,63,35,16,56,26,8,63,33,11,76,48,20,67,36,8,64,56,17,53,23,6,71,40,17,63,33,11
GRANDVIEW ISD,3,1364,88,65,30,86,65,29,88,90,64,30,88,68,28,91,67,39,81,67,39,76,47,19,91,70,33,87,53,27,100,100,33,,,,98,70,28,79,51,20
JOSHUA ISD,11,5862,83,58,28,82,60,30,85,85,55,26,85,58,26,81,54,32,72,47,20,77,47,20,87,63,33,73,42,19,91,72,49,94,82,53,86,60,25,76,47,20
KEENE ISD,5,1016,79,50,21,80,54,22,80,78,43,14,80,48,19,82,62,37,72,40,20,82,53,21,83,58,25,83,0,0,100,100,67,65,27,8,76,49,30,77,44,17
RIO VISTA ISD,4,817,73,45,21,73,50,20,72,72,39,20,72,42,20,78,56,27,-1,-1,-1,70,45,20,74,46,22,71,29,29,,,,,,,68,43,8,70,43,21
VENUS ISD,5,2300,66,34,12,67,37,12,76,61,25,8,76,40,12,67,39,23,70,27,10,65,32,10,70,39,16,20,20,0,62,28,21,-1,-1,-1,62,31,14,66,33,12
GODLEY ISD,6,2598,72,39,16,73,43,18,75,72,35,14,75,40,15,66,33,17,67,24,2,68,31,12,75,43,19,86,50,7,-1,-1,-1,100,40,0,74,32,9,61,27,9
ANSON ISD,3,739,74,45,17,75,49,19,81,70,34,11,81,52,20,80,58,22,39,22,6,68,36,11,81,54,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,89,67,44,67,35,11
HAMLIN COLLEGIATE ISD,2,430,66,38,13,65,43,14,71,66,33,14,71,38,9,63,36,15,33,4,0,65,34,11,70,42,14,,,,100,100,80,,,,59,56,26,61,35,11
HAWLEY ISD,3,765,75,40,14,77,46,17,75,71,30,9,75,37,7,83,55,31,-1,-1,-1,75,33,12,75,41,15,,,,,,,80,60,20,73,33,20,65,27,10
LUEDERS-AVOCA ISD,2,96,79,44,19,76,55,24,85,80,35,15,85,23,8,80,60,30,,,,82,49,28,77,42,15,,,,,,,,,,-1,-1,-1,75,42,20
STAMFORD ISD,3,620,82,52,22,82,56,23,88,82,45,19,88,58,28,75,49,24,63,27,8,77,43,15,88,64,32,-1,-1,-1,100,100,100,,,,93,68,14,76,40,14
KARNES CITY ISD,4,1048,70,39,16,71,42,15,73,68,35,17,73,35,7,71,43,25,45,13,10,67,33,11,87,61,32,71,29,0,,,,,,,73,40,20,66,33,12
KENEDY ISD,3,733,72,39,13,71,43,14,67,75,37,15,67,33,7,70,36,12,60,40,30,73,39,13,57,35,14,,,,,,,,,,83,8,0,68,34,11
RUNGE ISD,3,217,52,25,7,62,35,8,55,38,14,5,55,19,4,59,31,9,,,,49,22,6,88,60,16,,,,,,,,,,-1,-1,-1,48,20,5
FALLS CITY ISD,2,428,93,76,43,96,82,45,93,96,81,51,93,69,33,75,49,20,,,,89,62,33,95,81,46,,,,,,,,,,73,60,33,87,65,38
CRANDALL ISD,8,5439,71,42,19,74,50,22,69,67,33,15,69,37,14,72,43,24,64,34,15,65,36,15,81,52,25,63,29,17,100,93,70,50,13,0,78,50,23,63,34,13
FORNEY ISD,16,14314,73,46,22,75,53,25,74,70,39,19,74,46,19,73,44,25,58,31,13,74,44,19,85,60,32,82,52,22,91,73,45,65,38,19,79,52,25,60,32,13
KAUFMAN ISD,7,4093,78,49,22,77,52,23,79,76,44,20,79,46,19,85,55,33,76,48,18,74,43,18,83,56,28,83,61,26,100,89,58,-1,-1,-1,81,52,27,75,44,18
KEMP ISD,5,1689,68,36,14,70,41,16,66,65,31,12,66,34,11,69,37,16,65,41,12,64,33,12,70,38,14,40,20,0,64,64,0,,,,67,36,19,57,27,9
MABANK ISD,6,3653,80,53,24,78,54,24,83,81,51,24,83,53,21,82,53,28,74,36,16,79,50,21,81,54,25,65,43,17,90,79,46,-1,-1,-1,79,51,23,77,47,20
TERRELL ISD,9,4962,60,31,11,64,39,14,59,56,23,9,59,30,8,56,30,15,49,22,8,61,31,11,68,40,17,69,15,0,75,60,10,-1,-1,-1,62,35,7,58,28,10
SCURRY-ROSSER ISD,3,1083,83,55,25,82,58,24,86,86,54,23,86,53,22,79,50,38,62,27,4,79,43,14,86,60,29,-1,-1,-1,,,,,,,81,44,4,78,47,19
MEADOWLAND CHARTER DISTRICT,2,79,78,33,0,75,17,0,-1,71,14,0,-1,-1,-1,100,100,0,,,,-1,-1,-1,77,32,0,,,,,,,,,,,,,75,50,0
BOERNE ISD,12,10268,89,68,38,89,72,40,90,88,64,34,90,71,40,89,66,43,83,54,25,83,58,29,92,74,42,83,63,43,94,83,57,94,71,59,90,71,42,76,47,21
COMFORT ISD,3,1067,72,41,16,76,50,19,77,68,29,9,77,48,20,62,38,21,,,,65,34,12,81,51,21,-1,-1,-1,-1,-1,-1,,,,94,56,17,64,32,11
KENEDY COUNTY WIDE CSD,1,101,84,61,30,86,57,34,100,77,55,20,100,100,55,,,,-1,-1,-1,80,54,27,93,74,33,,,,,,,,,,,,,77,47,25
JAYTON-GIRARD ISD,1,169,92,66,32,97,80,43,91,92,59,29,91,53,12,79,61,36,,,,94,67,26,92,67,34,,,,,,,,,,100,40,20,93,54,22
CENTER POINT ISD,3,535,70,41,16,69,45,16,68,76,39,16,68,36,12,61,39,17,83,33,0,66,34,12,76,50,20,83,50,0,,,,,,,100,100,78,68,37,13
HUNT ISD,1,208,92,62,37,91,63,41,95,91,56,29,95,79,42,93,53,40,-1,-1,-1,87,54,20,94,65,45,,,,,,,,,,-1,-1,-1,89,55,21
KERRVILLE ISD,8,4808,79,55,28,80,60,30,80,78,48,24,80,54,25,79,58,38,72,36,14,72,42,18,86,66,37,65,47,29,93,70,46,100,63,25,85,60,37,72,43,19
INGRAM ISD,3,1172,85,56,26,83,57,25,93,87,54,27,93,69,26,80,45,23,67,33,0,82,50,20,89,62,30,-1,-1,-1,100,71,29,,,,68,32,12,82,49,20
DIVIDE ISD,1,32,92,40,8,100,64,9,-1,91,27,9,-1,-1,-1,,,,,,,86,14,14,94,50,6,,,,,,,,,,,,,86,36,7
JUNCTION ISD,3,639,73,47,20,75,52,19,82,69,39,16,82,54,25,66,44,27,-1,-1,-1,63,34,8,78,54,26,,,,,,,,,,87,67,27,67,37,11
GUTHRIE CSD,1,132,91,68,30,96,78,43,91,89,66,23,91,66,26,84,44,12,,,,94,75,44,91,68,28,,,,,,,,,,,,,98,82,48
BRACKETT ISD,3,531,82,49,19,88,62,25,84,76,37,11,84,44,11,78,50,35,,,,80,43,14,89,68,32,-1,-1,-1,,,,,,,63,38,0,76,39,12
KINGSVILLE ISD,5,2799,56,29,11,57,33,13,53,55,27,10,53,21,7,54,28,13,48,25,6,55,28,10,63,41,22,,,,88,66,31,-1,-1,-1,63,33,7,53,27,9
RICARDO ISD,2,622,82,56,30,83,60,33,85,79,51,25,85,60,28,92,53,37,100,71,43,80,53,27,89,72,42,,,,100,100,70,,,,-1,-1,-1,75,47,23
RIVIERA ISD,2,478,76,44,17,81,54,21,86,73,34,11,86,44,14,52,34,22,-1,-1,-1,74,40,13,84,59,28,,,,,,,,,,100,54,31,72,40,15
SANTA GERTRUDIS ISD,2,781,89,64,30,91,73,37,93,85,54,25,93,65,25,90,62,30,86,71,29,86,59,25,97,78,43,100,86,57,100,96,67,,,,100,100,75,83,50,20
KNOX CITY-O'BRIEN CISD,1,228,77,44,19,78,49,21,60,84,49,23,60,26,9,74,30,15,44,22,11,75,37,12,83,58,31,,,,,,,,,,-1,-1,-1,69,33,12
MUNDAY CISD,2,379,78,50,22,80,53,24,81,75,43,19,81,62,27,74,47,14,74,26,11,72,43,16,89,66,34,,,,83,67,50,,,,65,35,5,75,45,14
BENJAMIN ISD,1,133,89,55,27,90,66,25,92,91,57,36,92,40,4,78,33,26,,,,84,48,24,92,58,31,,,,,,,,,,100,77,8,88,49,22
CHISUM ISD,3,1145,83,55,26,84,64,31,81,85,49,23,81,50,16,78,46,29,48,19,5,81,48,19,85,57,27,95,43,19,-1,-1,-1,-1,-1,-1,84,65,32,79,48,20
PARIS ISD,8,3807,69,42,19,70,45,19,70,68,38,17,70,40,17,71,47,28,57,28,9,71,40,16,81,58,31,70,36,0,100,94,64,13,7,0,68,40,16,64,35,13
NORTH LAMAR ISD,6,2380,75,46,20,74,49,21,74,75,43,17,74,45,19,78,50,28,66,36,8,76,46,19,75,48,22,78,46,21,91,78,34,100,83,67,68,33,8,66,36,13
PRAIRILAND ISD,4,1089,86,55,24,86,63,29,88,86,47,21,88,56,18,84,48,27,82,29,6,81,44,17,87,57,26,94,63,25,,,,,,,67,33,5,82,45,18
AMHERST ISD,1,126,58,27,10,72,42,12,66,37,15,9,66,22,6,63,19,6,78,56,56,56,25,7,83,67,33,,,,,,,,,,-1,-1,-1,57,25,8
LITTLEFIELD ISD,4,1233,73,42,16,76,47,17,70,69,33,13,70,38,12,74,51,27,60,30,10,72,40,15,78,52,24,-1,-1,-1,100,50,50,,,,93,50,21,68,36,13
OLTON ISD,3,582,72,37,14,78,48,18,65,68,26,10,65,27,10,65,39,12,78,44,33,69,34,12,82,49,20,,,,,,,,,,,,,69,32,12
SPRINGLAKE-EARTH ISD,2,296,75,44,19,77,50,21,78,75,39,17,78,39,13,60,43,23,,,,69,39,17,92,60,24,,,,,,,,,,,,,70,35,15
SUDAN ISD,2,483,83,55,28,87,60,31,80,85,57,26,80,53,27,66,39,20,73,55,18,79,46,19,89,67,38,,,,,,,,,,69,23,8,79,45,19
LAMPASAS ISD,5,3403,80,53,24,80,57,28,80,81,48,19,80,51,18,78,55,33,89,54,17,76,45,19,81,55,26,85,42,27,100,79,41,78,67,33,85,57,30,75,45,19
LOMETA ISD,2,317,64,31,14,66,34,12,61,59,28,14,61,28,19,72,33,14,-1,-1,-1,61,28,12,69,35,17,-1,-1,-1,100,83,33,-1,-1,-1,88,38,25,63,32,14
COTULLA ISD,4,1172,71,39,15,71,44,18,74,72,38,17,74,37,11,62,31,8,50,50,13,70,39,15,76,50,24,-1,-1,-1,100,83,67,,,,80,50,10,69,37,14
HALLETTSVILLE ISD,3,1147,84,58,27,81,60,23,84,87,60,31,84,49,20,86,58,36,65,35,9,78,47,17,89,66,33,,,,83,58,17,,,,82,52,16,76,45,16
MOULTON ISD,2,308,85,58,32,83,63,33,76,90,64,39,76,40,16,89,57,39,,,,82,51,24,88,65,39,-1,-1,-1,,,,,,,-1,-1,-1,82,50,25
SHINER ISD,2,704,90,71,42,88,69,38,93,92,70,44,93,78,45,89,70,46,66,36,16,79,52,26,96,78,47,100,100,67,-1,-1,-1,,,,85,65,50,79,51,27
VYSEHRAD ISD,1,111,91,65,34,95,64,35,89,89,69,40,89,74,26,75,25,0,93,33,7,100,73,27,90,71,39,,,,,,,,,,75,38,25,80,42,17
SWEET HOME ISD,1,136,93,69,39,93,75,48,83,95,62,26,83,67,42,100,77,54,,,,96,61,30,94,72,42,,,,,,,,,,89,56,11,86,54,26
EZZELL ISD,1,94,86,54,30,83,56,35,100,88,54,29,100,53,20,57,43,29,-1,-1,-1,90,60,30,88,56,35,,,,-1,-1,-1,,,,55,18,0,83,56,30
GIDDINGS ISD,4,1920,81,53,24,80,55,23,83,79,49,22,83,54,23,85,60,36,76,39,14,78,48,20,86,64,32,,,,100,82,47,,,,78,57,28,77,46,18
LEXINGTON ISD,3,1093,83,56,27,80,59,29,84,85,52,21,84,52,25,88,67,44,68,40,14,70,41,17,87,61,31,40,40,20,,,,100,80,60,92,63,30,74,43,15
DIME BOX ISD,1,181,65,35,15,72,43,15,52,66,28,12,52,30,14,50,35,25,53,30,16,65,31,12,82,56,22,,,,,,,,,,67,17,6,64,33,14
BUFFALO ISD,3,1024,84,56,25,84,61,28,86,83,52,23,86,50,16,83,56,29,76,51,12,80,48,19,88,63,30,-1,-1,-1,100,91,36,,,,76,36,12,81,50,22
CENTERVILLE ISD,2,711,82,50,20,85,64,26,76,79,37,13,76,42,12,86,49,26,61,33,11,73,38,16,86,54,22,100,63,0,92,69,23,,,,90,48,14,74,37,12
NORMANGEE ISD,3,625,76,47,20,76,53,21,82,76,42,16,82,49,22,67,45,25,51,9,0,68,36,13,79,52,22,-1,-1,-1,85,75,35,-1,-1,-1,85,56,30,64,37,15
OAKWOOD ISD,2,233,73,36,12,75,45,15,74,68,22,4,74,32,2,77,58,42,65,28,10,91,59,15,71,35,12,,,,,,,,,,82,55,9,69,35,12
LEON ISD,2,717,84,56,26,82,57,26,90,81,51,22,90,66,30,90,58,32,83,67,17,80,52,23,86,59,27,-1,-1,-1,100,77,50,,,,53,20,7,80,50,20
CLEVELAND ISD,9,10851,55,27,10,56,32,11,57,55,22,7,57,29,10,52,28,14,50,24,7,55,27,9,60,33,15,67,8,4,100,93,36,-1,-1,-1,53,26,11,54,26,9
DAYTON ISD,7,5603,66,36,15,65,38,15,70,65,32,13,70,41,14,66,38,21,60,30,10,66,35,15,67,39,16,60,33,20,91,65,38,,,,60,34,11,62,32,13
DEVERS ISD,2,216,100,85,56,99,90,64,100,100,84,56,100,78,38,100,60,33,100,100,83,99,72,38,100,88,61,,,,,,,,,,-1,-1,-1,99,72,38
HARDIN ISD,3,1280,72,41,16,77,52,21,76,68,30,12,76,44,13,61,34,18,70,41,15,74,41,15,72,42,16,71,24,6,83,50,17,,,,75,41,20,67,36,12
HULL-DAISETTA ISD,3,433,60,26,8,62,31,11,62,57,21,6,62,29,2,61,19,8,64,21,4,55,28,10,61,27,8,80,40,0,,,,,,,31,13,6,56,23,6
LIBERTY ISD,4,2244,74,44,18,74,49,20,80,72,36,14,80,47,19,73,42,19,64,31,12,75,43,17,78,49,21,-1,-1,-1,93,83,55,-1,-1,-1,58,27,10,69,37,14
TARKINGTON ISD,4,1809,78,48,21,75,49,21,82,79,46,19,82,49,15,81,56,37,71,14,0,79,47,18,78,49,21,100,100,43,-1,-1,-1,-1,-1,-1,72,40,18,71,40,16
COOLIDGE ISD,2,302,82,48,19,87,55,21,94,78,42,18,94,44,13,62,49,26,68,40,23,85,45,16,86,56,24,,,,,,,,,,67,53,7,81,44,16
GROESBECK ISD,4,1543,70,41,16,71,46,18,65,69,38,15,65,35,10,75,44,24,48,22,6,65,35,11,76,49,21,71,57,14,85,69,46,,,,75,42,15,63,33,12
MEXIA ISD,5,1855,64,34,13,67,40,13,59,60,27,11,59,28,8,66,43,22,54,26,8,65,34,12,76,45,19,,,,90,77,52,30,10,0,49,25,12,61,32,11
BOOKER ISD,2,355,85,61,29,87,66,29,83,87,64,33,83,53,23,76,51,27,,,,84,57,27,92,78,36,-1,-1,-1,,,,,,,-1,-1,-1,83,55,25
FOLLETT ISD,1,176,74,43,16,77,51,19,76,66,33,13,76,37,10,81,56,22,,,,63,33,14,79,47,16,83,67,17,,,,,,,-1,-1,-1,65,33,13
DARROUZETT ISD,1,149,49,22,8,51,22,6,35,45,14,5,35,20,10,67,42,17,,,,42,13,3,58,32,14,-1,-1,-1,,,,,,,-1,-1,-1,47,16,3
GEORGE WEST ISD,4,1036,86,62,33,88,70,37,84,88,59,31,84,58,31,80,51,29,-1,-1,-1,84,56,27,90,71,42,100,100,86,-1,-1,-1,,,,-1,-1,-1,84,54,24
THREE RIVERS ISD,2,573,78,48,19,82,57,21,89,73,39,16,89,54,20,61,28,15,67,33,17,76,43,16,82,55,22,,,,-1,-1,-1,-1,-1,-1,88,50,0,77,42,17
LLANO ISD,4,1881,79,50,24,78,52,23,80,77,45,19,80,52,25,83,60,42,74,21,5,69,38,15,83,56,28,-1,-1,-1,93,60,40,,,,83,53,26,74,42,17
TEXAS TECH UNIVERSITY K-12,1,977,94,79,39,96,86,50,95,89,69,32,95,79,26,95,79,40,92,69,23,88,74,38,94,78,37,-1,-1,-1,100,94,59,100,83,67,80,60,0,,,
RISE ACADEMY,1,305,95,73,41,96,79,49,100,93,66,36,100,75,42,100,70,20,95,72,39,96,77,45,-1,-1,-1,,,,,,,,,,83,50,50,95,69,37
TRIUMPH PUBLIC HIGH SCHOOLS-LUBBOCK,1,178,52,28,7,27,18,1,83,59,16,2,83,42,13,86,58,26,53,20,7,49,25,5,61,43,22,,,,,,,,,,-1,-1,-1,53,28,6
BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION,1,185,46,18,12,58,26,18,53,33,11,8,53,18,6,,,,25,25,13,33,10,9,58,23,15,,,,100,60,40,-1,-1,-1,40,0,0,37,13,8
